"TIME","U2(IN+)"
0.01010980002,-0.105064
0.01010980102,-0.104996
0.01010980302,-0.104944
0.01010981502,-0.104926
0.01010991246,-0.105007
0.01011012432,-0.10505
0.01011080015,-0.105114
0.01013518764,-0.106322
0.01021071017,-0.110006
0.01031140688,-0.114779
0.0105128003,-0.123827
0.01064190002,-0.129256
0.01064190102,-0.129337
0.01064190302,-0.129402
0.01064191502,-0.129427
0.01064200773,-0.129341
0.01064220396,-0.129308
0.01064279315,-0.129295
0.01066314998,-0.130121
0.01072619048,-0.132637
0.01081024448,-0.135877
0.01097835248,-0.141944
0.01117400002,-0.14829
0.01117400102,-0.148194
0.01117400302,-0.148121
0.01117401502,-0.148095
0.01117410463,-0.148199
0.01117428601,-0.148251
0.01117481277,-0.14831
0.0111927522,-0.148857
0.01124824845,-0.15049
0.01132224345,-0.152566
0.01147023346,-0.156361
0.01170610002,-0.161403
0.01170610102,-0.161505
0.01170610302,-0.161585
0.01170611502,-0.161617
0.01170620303,-0.161509
0.0117063752,-0.161463
0.01170686508,-0.161426
0.01170847463,-0.161444
0.01173841185,-0.161996
0.01177018807,-0.162556
0.0118337405,-0.163605
0.01196084537,-0.165422
0.01221505511,-0.167918
0.01223820002,-0.16807
0.01223820102,-0.16796
0.01223820302,-0.167878
0.01223821502,-0.167848
0.01223830211,-0.167961
0.01223847075,-0.168014
0.0122389461,-0.168065
0.01224050391,-0.168088
0.01226866605,-0.168249
0.01229850172,-0.168404
0.01235817306,-0.168649
0.01247751574,-0.168885
0.0127162011,-0.168335
0.01277030002,-0.168021
0.01277030102,-0.168127
0.01277030302,-0.16821
0.01277031502,-0.168243
0.01277040224,-0.168129
0.01277057046,-0.168077
0.01277104459,-0.168026
0.01277259795,-0.168002
0.01280065415,-0.167815
0.01283037238,-0.167591
0.01288980883,-0.167082
0.01300868174,-0.165812
0.01324642755,-0.162281
0.01330240002,-0.16126
0.01330240102,-0.161155
0.01330240302,-0.161076
0.01330241502,-0.161047
0.01330250293,-0.161155
0.01330267565,-0.161201
0.01330316728,-0.161238
0.01330478321,-0.161219
0.01333489276,-0.160635
0.01336685925,-0.159996
0.01343079223,-0.158648
0.01355865818,-0.155679
0.01381439008,-0.148668
0.01383450003,-0.148058
0.01383450102,-0.148151
0.01383450303,-0.148225
0.01383451502,-0.148253
0.0138346048,-0.148149
0.01383478585,-0.148097
0.01383531173,-0.148039
0.01387168549,-0.146907
0.01390861802,-0.145735
0.01398248308,-0.143307
0.01413021319,-0.138121
0.01436660003,-0.128944
0.01436660103,-0.12886
0.01436660303,-0.128797
0.01436661503,-0.128773
0.01436670765,-0.128859
0.01436690473,-0.128892
0.01436749697,-0.128905
0.01438796971,-0.128063
0.01445136917,-0.125401
0.01453590178,-0.121741
0.01470496701,-0.114055
0.01489870003,-0.104684
0.01489870103,-0.10475
0.01489870303,-0.104802
0.01489871503,-0.104822
0.01489881271,-0.104741
0.0148990242,-0.104698
0.01489969931,-0.104634
0.01492407333,-0.103415
0.01499955415,-0.0995831
0.01510019524,-0.0943501
0.01530147744,-0.0834873
0.01543080003,-0.0762524
0.01543080103,-0.0762029
0.01543080303,-0.0761653
0.01543081503,-0.0761511
0.01543092106,-0.0762027
0.01543115732,-0.0762125
0.015431993,-0.0761868
0.01546427414,-0.0743497
0.0154975966,-0.072444
0.01556424153,-0.0685989
0.01569753137,-0.0607825
0.01596290003,-0.0447884
0.01596290103,-0.0448165
0.01596290303,-0.0448387
0.01596291503,-0.0448466
0.01596302703,-0.0448048
0.01596332595,-0.0447713
0.01596452162,-0.0446868
0.01597568123,-0.0440056
0.01601394277,-0.0416563
0.01606495815,-0.0385108
0.01616698891,-0.0321788
0.01637105043,-0.0193845
0.01649500003,-0.011554
0.01649500103,-0.0115464
0.01649500303,-0.0115406
0.01649501503,-0.0115378
0.01649506303,-0.0115392
0.01649512703,-0.0115397
0.01649551103,-0.01152
0.01649704703,-0.011425
0.01652776703,-0.00947927
0.01656053503,-0.00740314
0.01662607103,-0.0032481
0.01675714303,0.0050642
0.01701928703,0.0216267
0.01702710003,0.0221179
0.01702710103,0.0221318
0.01702710303,0.0221429
0.01702711503,0.022148
0.01702722703,0.0221378
0.01702761103,0.0221531
0.01702914703,0.0222454
0.01704348303,0.023147
0.01709263503,0.026229
0.01715817103,0.0303237
0.01728924303,0.0384541
0.01755138703,0.0544087
0.01755920003,0.0548768
0.01755920103,0.0548412
0.01755920303,0.0548144
0.01755921503,0.0548054
0.01755926303,0.0548294
0.01755932703,0.0548549
0.01755959764,0.0548883
0.01756065216,0.0549661
0.01760366177,0.057531
0.01764805879,0.060165
0.01773685283,0.0653811
0.0179144409,0.0755857
0.01809130003,0.085409
0.01809130103,0.0854627
0.01809130303,0.0855053
0.01809131503,0.0855225
0.01809141804,0.0854646
0.01809164455,0.0854507
0.01809241565,0.0854684
0.01812149844,0.0870493
0.01815151937,0.0886687
0.01821156125,0.0918729
0.01833164499,0.0981375
0.01857181248,0.110047
0.01862340003,0.11249
0.01862340103,0.112417
0.01862340303,0.112362
0.01862341503,0.112343
0.01862351081,0.112427
0.01862371796,0.112472
0.01862436525,0.112535
0.01864737368,0.113611
0.0187186256,0.116887
0.01881362816,0.121122
0.01900363327,0.129119
0.01915550003,0.135034
0.01915550103,0.135119
